metro,price_to_income_index_2018,zhvi_2018,median_household_income_2018,price_to_income_index_2024,zhvi_2024,median_household_income_2024,StateName,index_change,index_change_pct,annual_index_slope,trend_r2,trend_pvalue
"Las Vegas, NV",4.32,274176.57887521334,63466.800665558636,5.22759489417271,432062.2013773518,82650.28375840274,NV,0.9075948941727097,21.009141068812724,0.19609849867566986,0.688806526272976,0.020853489592531853
"Omaha, NE",3.6271201651350897,188610.24858702466,52000.0,4.385147418858754,296951.3365082035,67717.52649207079,NE,0.7580272537236641,20.898873464685224,0.15490464533809833,0.9091801132848143,0.0008728998106789321
"Richmond, VA",4.642056164354445,241386.92054643112,52000.0,5.588960288127762,378470.5663744233,67717.52649207079,VA,0.9469041237733169,20.398377146843497,0.19498164830589304,0.9031224773691527,0.0010282218028592179
"Kansas City, MO",3.802600431706916,197735.22244875962,52000.0,4.578004173904321,310011.1189271765,67717.52649207079,MO,0.7754037421974052,20.391407304641287,0.1620421116996985,0.8793323003531659,0.0017970308321912018
"Cleveland, OH",2.8199059309874204,146635.10841134586,52000.0,3.369665796868314,228185.43286885487,67717.52649207079,OH,0.5497598658808935,19.495681038139782,0.10588607880904766,0.9195004587367596,0.0006430946905836234
"Fresno, CA",4.982400458202606,259084.8238265355,52000.0,5.9223422451678704,401046.36788226524,67717.52649207079,CA,0.9399417869652646,18.865239654067214,0.20730217445843047,0.7609864220211312,0.010427499578870517
"Dallas, TX",3.3493333333333335,252125.6825648035,75276.3781543004,3.945009110975462,386726.9771881125,98029.42561328801,TX,0.5956757776421284,17.78490578151259,0.15397347532104788,0.6912362169620092,0.020425002289367725
"Philadelphia, PA",3.461333333333333,239528.09237532536,69201.10527022112,4.063079401056778,366155.9393261599,90117.8399887842,PA,0.601746067723445,17.384805500484738,0.12161558384664284,0.9065800285461643,0.0009376641038340166
"Oklahoma City, OK",3.028800446360613,157497.62321075186,52000.0,3.5436862481779587,239969.66739057784,67717.52649207079,OK,0.5148858018173459,16.999660787690036,0.11666647144629078,0.846009638679052,0.00335067782847071
"Milwaukee, WI",4.476576711888669,232781.98901821076,52000.0,5.223045782621915,353691.7411539981,67717.52649207079,WI,0.7464690707332462,16.674997856080765,0.13862820821928468,0.9638378732609993,8.554734490009413e-05
"Birmingham, AL",3.2420591600999966,168587.07632519983,52000.0,3.768391556935043,255186.15508924462,67717.52649207079,AL,0.5263323968350462,16.23450933013857,0.12441149819630043,0.7372328510585331,0.013356488987971295
"Detroit, MI",3.2057563858482814,166699.33206411064,52000.0,3.710140228754717,251241.51922999512,67717.52649207079,MI,0.5043838429064356,15.73369221482404,0.09952576093498389,0.8394603163096229,0.003728381382139403
"Austin, TX",4.282666666666667,315853.2245381285,73751.53125890298,4.949712184056051,475388.5647073947,96043.67830491441,TX,0.6670455173893846,15.575471296452006,0.22649006668786514,0.4075453924221202,0.12282352351159684
"Bridgeport, CT",5.4399999999999995,420996.37675275793,77389.03984425699,6.280568870928113,632959.880317486,100780.66068941142,CT,0.8405688709281138,15.4516336567668,0.18082250972050007,0.7588680315519427,0.01067013548223953
"Louisville, KY",3.392571031957961,176413.69366181397,52000.0,3.901435645817207,264195.571702736,67717.52649207079,KY,0.5088646138592461,14.999379793842197,0.10149581712172284,0.8648709316898705,0.002398578976872892
"Seattle, WA",3.7600000000000002,505967.0174648117,134565.6961342584,4.30835978658585,754994.9882242419,175239.54024799215,WA,0.5483597865858498,14.584036877283237,0.13592635487017013,0.6115114588620374,0.03775141052218906
"Los Angeles, CA",4.439641532533541,643748.0222173634,145000.0,5.0600917534809176,955485.5792010515,188827.7181028897,CA,0.6204502209473768,13.975232378576937,0.1381103059416744,0.7462078902449241,0.012195307431407343
"Albany, NY",4.356782407178946,226552.6851733052,52000.0,4.954517419193724,335507.6645896772,67717.52649207079,NY,0.5977350120147786,13.71964344672924,0.1216630095964964,0.8876242550626918,0.0014991269020140261
"St. Louis, MO",3.379271357579858,175722.11059415262,52000.0,3.835222693067742,259711.7943208059,67717.52649207079,MO,0.45595133548788436,13.492593143346271,0.09827640697017864,0.86218740941598,0.0025221601579682954
"Virginia Beach, VA",4.618666666666667,240201.52077959504,52006.68030736036,5.241773405061701,355005.53021941235,67726.2259899679,VA,0.6231067383950339,13.491052361324348,0.13485732169091658,0.8651028284277464,0.0023880793769202684
"Boston, MA",3.5733333333333337,483867.94725961046,135410.806136085,4.020810699233487,709030.1338624876,176340.09330448075,MA,0.4474773659001534,12.522687478549068,0.09334321531198803,0.8320152362710564,0.00418863761284124
"Houston, TX",3.3866666666666667,217287.10259770663,64159.5775386929,3.7905826801420566,316712.5056960556,83552.45945570205,TX,0.40391601347538986,11.926653941202456,0.10872961689946747,0.6555196122420969,0.027327173933888692
"Denver, CO",3.9093333333333335,416876.7733026689,106636.28239324749,4.318852297750254,599751.1514652934,138868.17842270536,CO,0.4095189644169208,10.475416893338698,0.11322491346534747,0.540541488778714,0.059721226540736826
"Oxnard, CA",5.850666666666667,617961.289892519,105622.37179110966,6.440611878000785,885892.0142802127,137547.80307538115,CA,0.5899452113341175,10.083384423440931,0.14900914276959631,0.637470806525819,0.03133272500626054
"San Antonio, TX",3.9255144841768663,204126.75317719704,52000.0,4.318119724205471,292412.38681981736,67717.52649207079,TX,0.39260524002860464,10.001370307284175,0.12509975521253702,0.5450234529116256,0.05812474807582043
"Sacramento, CA",4.1706666666666665,420521.4132680315,100828.34397411242,4.509083234762663,592063.9648580273,131304.73181189585,CA,0.3384165680959965,8.114207994629073,0.10182485488810339,0.4112413754061184,0.12059801609744279
"Pittsburgh, PA",3.059386840391074,159088.11570033585,52000.0,3.2873626734070447,222612.06892548618,67717.52649207079,PA,0.22797583301597069,7.451683782062327,0.05278678874082687,0.5904392228572153,0.0435684974212444
"Chicago, IL",3.312,234337.84372635162,70754.17986906752,3.5219337194929676,324512.1954117044,92140.34710977541,IL,0.2099337194929678,6.338578487106517,0.049897499279426605,0.6687230792045082,0.024621805278989186
"New York, NY",3.3123519605836322,480291.03428462666,145000.0,3.5209012364422154,664843.7461430264,188827.7181028897,NY,0.20854927585858318,6.296108576029375,0.04422456463570823,0.7093719559879474,0.01740620917800361
"San Jose, CA",8.023997650588843,1163479.6593353823,145000.0,8.522632441939262,1609309.2362410494,188827.7181028897,CA,0.498634791350419,6.21429383536555,0.13648292540734885,0.3752003060460698,0.14367367162003886
"Portland, OR",4.133333333333334,403725.17354269116,97675.4452119414,4.3706969041131964,555947.5651641974,127198.83747623944,OR,0.2373635707798627,5.7426670349966775,0.08348723668464941,0.4085716265882092,0.12220247928752637
"Washington, DC",3.4240000000000004,419084.2344598914,122396.09651281874,3.5902313969805992,572252.5684977925,159391.55592563184,VA,0.16623139698059886,4.854888930508143,0.04503801812218072,0.5464695098651153,0.05761605397962286
"Baltimore, MD",3.9466666666666663,288369.31555741566,73066.54955002086,4.110918997061945,391160.7417804692,95151.65393918732,MD,0.16425233039527853,4.161798912042531,0.04912915733896289,0.5881548261900014,0.044233336036544314
"Minneapolis, MN",3.797333333333333,279240.8577150922,73536.0404797469,3.938611920112767,377173.5030602671,95763.05325594712,MN,0.14127858677943417,3.7204684018460545,0.04846194329459308,0.3660912293246783,0.15001495452108007
"Urban Honolulu, HI",5.253333333333334,657153.357051208,125092.64410873248,5.230895855078365,852129.4766349229,162903.16233454374,HI,-0.022437478254969,-0.4271093576453489,0.0542515106244843,0.18568302540558868,0.33444613040120136
"Baton Rouge, LA",3.7056048594266016,192691.45269018327,52000.0,3.5723141827499805,241908.280308372,67717.52649207079,LA,-0.1332906766766211,-3.597001885874206,-0.004411379017268013,0.0214821178640362,0.7538427562630795
"San Francisco, CA",6.431358325966831,932546.9572651904,145000.0,6.161110701081635,1163388.47466454,188827.7181028897,CA,-0.2702476248851955,-4.202030289527818,0.005672934682335873,0.0014582255168891223,0.9352194686093294
"New Orleans, LA",4.42277590767682,229984.34719919463,52000.0,3.8226729331020515,258861.9556178601,67717.52649207079,LA,-0.6001029745747681,-13.568468923174274,-0.06765652854718773,0.2532955218055455,0.24955997380591136
